"u","intercept","treatment","age"
0.1,4.63957334525473,-0.212250824749551,-0.0321184550298201
0.2,5.90996713797037,-0.6982548054447,-0.0413818872421872
0.3,6.45609308880098,-0.935030389925499,-0.0353029408936862
0.4,6.78268457825843,-0.511317723245216,-0.0431131780504218
0.5,6.53077773942561,-0.407658939370201,-0.0208096228592416
0.6,7.96668312746661,-1.24927896889087,-0.0358833307269983
