"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
305404,1,48,1,390,0,0,0,1,0,0,11
305408,1,47,1,3060,0,1,0,1,0,1,85
305409,1,25,1,0,0,1,1,1,1,0,133
305411,1,32,0,2580,0,1,1,1,0,0,201
305412,0,29,0,0,0,1,1,1,0,1,636
305417,0,32,1,0,1,1,0,1,0,0,548
305419,1,21,0,4419,1,1,1,1,1,0,567
305423,1,17,0,0,0,0,0,1,1,1,383
305426,0,19,1,5132,0,0,0,0,1,0,1173
305429,1,19,0,0,0,0,0,1,1,1,419
305430,1,19,1,0,1,1,1,1,0,0,476
305438,0,25,0,0,1,1,1,1,1,1,543
305441,1,24,1,0,0,1,1,1,1,0,127
305443,1,22,1,8840,0,0,1,1,1,1,82
305444,1,25,1,6802,0,1,0,0,0,0,164
305445,1,21,1,0,0,0,0,0,1,1,248
305451,1,43,0,0,0,1,1,1,0,0,29
305452,0,21,1,3000,0,0,0,0,0,0,664
305453,1,31,0,1400,1,0,1,1,1,1,8
305454,0,20,1,0,0,1,0,0,1,0,752
305455,1,23,0,2000,1,0,0,1,1,1,46
305459,1,33,1,1800,1,0,1,1,1,1,290
305460,1,21,1,1700,1,1,1,1,0,0,160
305464,0,32,1,4000,1,1,1,1,0,0,614
305465,1,34,1,5000,1,1,0,0,0,0,28
305468,1,19,1,3583,1,0,1,1,1,0,33
305471,1,41,1,0,1,0,1,1,0,1,128
305473,1,16,0,500,1,0,0,1,1,0,93
305474,1,21,0,1498,0,0,1,1,1,0,269
305475,0,30,0,1942,1,1,1,1,0,0,633
305476,1,33,0,3000,0,0,0,1,1,1,216
305478,1,34,1,5385,0,1,0,1,0,0,524
305479,1,24,0,8000,0,0,1,1,1,1,180
305482,1,26,0,9000,0,0,0,0,1,0,40
305486,1,19,1,568,0,0,0,1,1,0,35
305487,1,25,0,3000,1,0,1,1,1,1,15
305489,1,33,0,200,1,0,1,1,0,0,557
305491,1,21,1,0,0,0,1,1,1,1,8
305492,1,19,1,98,1,1,0,1,0,0,59
305493,1,41,1,1729,1,0,1,1,0,0,51
305495,1,20,0,0,0,0,1,1,0,0,115
305497,1,21,0,4000,1,0,1,1,1,1,26
305501,1,34,1,900,1,0,1,1,1,1,237
305504,1,43,1,6000,0,1,0,1,0,1,29
305507,0,44,1,104,1,1,1,1,0,0,668
305508,0,72,0,0,1,0,0,0,0,0,608
305512,1,23,0,800,0,0,0,1,1,1,271
305513,1,19,1,818,1,0,1,1,1,0,164
305520,1,25,0,8280,1,1,1,1,0,1,24
305522,1,21,1,3386,0,0,1,1,1,0,275
305523,1,26,0,300,1,0,0,1,0,0,269
305527,0,30,1,77,1,0,0,1,1,1,611
305532,1,19,0,3300,1,0,1,1,1,1,280
305533,1,19,1,975,1,0,1,0,1,1,147
305535,1,18,0,0,0,0,1,0,1,0,367
305536,1,30,0,2500,0,1,0,1,0,1,429
305537,1,20,1,160,0,0,0,0,1,1,20
305539,1,61,0,0,1,0,0,1,0,0,5
305541,1,17,0,100,0,0,0,0,1,1,223
305547,1,24,1,3000,1,0,1,1,0,1,153
305549,1,17,0,1300,0,0,0,0,1,1,219
305553,1,23,1,0,0,0,1,1,1,0,509
305555,1,32,0,1024,1,1,1,1,0,0,66
305558,0,36,1,600,1,0,0,0,0,1,1198
305560,1,25,0,3000,0,1,0,1,0,0,17
305561,1,22,0,1100,1,1,1,0,0,1,1
305564,1,33,1,300,1,1,1,1,0,0,97
305566,0,44,1,125,1,1,0,1,0,1,1098
305568,1,42,1,5500,0,0,0,1,0,0,51
305574,1,19,0,0,1,0,1,1,1,1,43
305577,1,27,1,13000,0,1,1,1,0,1,118
305579,1,18,0,0,1,0,0,1,1,1,560
305582,1,22,0,0,1,1,1,1,1,0,245
305590,1,25,1,0,1,0,0,0,0,1,279
305591,1,25,0,6390,1,0,0,1,1,1,38
305592,1,37,1,6000,1,0,0,1,0,1,550
305594,1,20,0,700,1,0,1,1,0,0,121
305597,1,31,1,7000,1,1,1,1,0,1,215
305605,1,70,0,0,1,1,0,0,0,0,244
305606,1,19,1,2300,1,0,1,1,1,1,18
305615,1,21,1,0,1,1,0,0,0,0,268
305618,1,17,0,120,0,0,1,1,1,0,216
305620,1,17,0,250,1,0,1,1,1,1,81
305621,0,39,0,0,0,1,1,1,0,0,681
305629,1,22,0,3000,1,0,1,1,1,0,30
305632,1,27,1,0,0,1,0,0,0,0,8
305633,1,20,1,3300,1,0,1,1,1,0,57
305634,1,33,1,7200,0,0,1,1,1,1,348
305638,0,22,0,0,1,1,1,1,0,0,740
305640,1,20,1,450,1,0,0,0,1,0,63
305644,1,18,0,0,1,1,1,0,0,0,449
305651,1,24,0,0,0,1,0,1,1,1,54
305661,1,28,0,3000,1,0,1,1,0,1,21
305662,1,58,1,0,1,0,0,0,0,0,284
305669,1,42,1,3912,0,0,1,1,1,0,68
305673,0,26,0,0,1,1,0,1,1,0,590
305676,1,26,1,2202,0,1,0,0,0,0,35
305679,1,33,0,2160,0,1,0,1,0,0,206
305680,1,21,0,4725,0,1,0,1,1,0,334
305684,1,34,1,7600,0,1,1,1,1,0,81
305688,1,23,1,0,1,1,0,1,0,0,418
305689,0,29,1,220,1,0,0,0,1,1,743
305692,1,28,1,0,1,0,1,1,1,0,413
305694,1,22,1,425,0,1,0,1,1,0,365
305700,1,20,1,728,1,0,0,1,1,1,125
305706,1,17,0,0,1,1,0,1,0,0,112
305709,1,22,0,1500,1,1,1,1,0,1,60
305710,1,18,1,2200,0,0,0,1,1,0,388
305712,0,67,0,0,0,0,0,0,0,0,597
305713,1,19,0,425,0,1,0,1,1,0,428
305716,1,31,0,0,0,1,0,1,0,1,272
305719,1,44,0,2000,1,0,0,0,1,1,61
305727,1,26,1,4800,0,1,0,0,1,0,297
305728,0,17,0,0,0,0,0,1,1,0,642
305730,1,20,1,9500,1,0,0,1,1,1,19
305731,0,40,1,4500,0,0,1,1,0,0,546
305732,1,19,1,1300,1,0,0,0,1,1,15
305733,1,56,1,4600,1,0,0,0,0,0,102
305734,1,34,0,4000,0,1,0,0,0,1,591
305741,1,28,1,12000,1,1,0,0,0,1,30
305742,0,39,1,0,1,1,1,1,0,0,604
305747,1,25,0,0,1,0,1,1,1,1,351
305748,0,22,1,0,0,1,0,0,0,0,558
305749,0,34,1,2700,1,0,1,1,0,1,547
305750,1,28,0,11699,0,0,0,0,0,0,59
305755,1,37,0,0,1,1,1,1,0,1,146
305756,1,21,0,300,1,0,0,0,1,1,54
305757,1,41,1,2400,1,1,0,0,0,1,64
305761,1,24,1,0,0,1,0,0,1,0,314
305762,1,21,1,1849,0,1,0,0,0,0,614
305765,1,35,0,5000,0,0,0,0,0,1,69
305767,1,18,0,2000,1,0,1,1,1,1,182
305770,1,33,1,0,1,1,1,1,0,0,171
305772,1,22,0,3000,1,0,0,0,1,1,164
305773,1,22,0,400,1,0,1,1,1,0,34
305774,1,31,1,11000,1,1,0,1,0,0,58
305777,1,30,0,0,0,1,1,1,0,0,368
305778,0,49,0,4800,1,0,1,1,0,1,572
305787,1,30,1,1200,0,0,1,1,1,1,5
305788,1,34,1,22000,1,0,1,1,0,1,36
305789,1,30,1,0,0,1,0,1,1,0,172
305790,1,22,0,1700,0,0,0,0,1,1,34
305795,0,32,1,88,0,1,0,0,1,0,560
305797,1,41,0,4400,1,0,1,0,0,1,226
305800,1,23,1,0,1,1,0,0,0,0,482
305804,0,38,1,0,1,0,0,0,1,0,734
305805,1,20,0,0,0,0,0,1,1,1,247
305809,1,33,1,0,1,1,1,1,0,0,213
305810,1,25,1,1000,1,1,1,1,0,0,4
305812,1,20,1,1210,0,1,1,1,0,0,381
305813,1,29,1,0,1,1,1,1,0,0,65
305814,1,30,0,0,0,0,1,1,1,1,145
305815,1,40,0,0,1,1,0,0,0,1,390
305817,1,16,0,0,0,0,1,1,1,1,143
305821,1,46,1,4100,0,0,0,1,0,1,317
305822,0,38,1,0,1,1,1,1,0,0,604
305827,0,40,1,3215,1,1,1,1,0,0,511
305829,1,20,1,58,1,0,0,1,1,0,19
305830,1,42,1,0,0,1,0,0,0,0,211
305835,0,26,1,0,0,1,0,0,1,0,623
305836,1,20,0,322,0,0,1,1,1,0,19
305837,1,24,0,3000,1,1,1,1,0,1,516
305840,0,50,1,0,1,1,1,1,0,1,584
305842,1,24,0,4400,0,0,1,1,1,1,113
305843,1,34,1,0,0,1,0,0,0,0,328
305844,1,21,1,7467,0,0,1,1,1,1,72
305846,1,22,0,0,0,1,1,1,1,0,332
305850,1,32,1,5600,1,1,0,0,0,0,249
305851,1,30,0,5044,1,1,1,1,0,0,89
305855,0,26,1,3520,0,1,0,0,1,0,364
305856,1,18,1,0,1,1,1,1,1,0,132
305857,1,37,0,2418,1,1,1,1,0,0,36
305867,1,19,1,5000,1,0,0,1,1,0,579
305869,1,39,1,10000,1,1,1,0,0,0,185
305871,1,18,0,0,0,0,0,1,1,1,53
305875,0,31,1,6000,1,1,0,1,0,0,1143
305877,1,25,1,3200,0,1,1,1,1,0,21
305879,0,33,1,5196,1,0,1,1,0,1,578
305881,1,17,0,110,0,0,1,1,1,1,165
305883,1,21,0,2400,0,1,0,0,1,0,123
305889,0,29,1,0,0,0,1,1,1,0,689
305890,1,24,0,5567,0,1,1,1,1,0,147
305891,1,45,0,900,1,0,1,1,0,1,164
305892,1,65,0,3300,1,0,0,1,0,1,76
305895,0,17,0,311,0,0,1,1,1,0,768
305898,1,31,0,1300,1,1,0,1,0,1,16
305903,1,34,0,14000,1,0,0,0,0,1,56
305904,0,48,0,0,1,0,1,1,0,0,580
305907,0,51,0,10400,0,0,1,1,0,1,561
305908,1,25,0,500,0,0,1,1,0,1,134
305911,1,30,0,2645,1,1,1,1,0,0,108
305915,1,18,0,0,0,1,0,0,0,0,860
305916,1,20,1,0,1,0,0,1,1,0,64
305922,1,18,1,219,1,0,1,1,1,0,61
305925,1,26,1,465,1,1,0,0,1,1,73
305928,1,23,0,1200,0,0,0,1,1,1,374
305931,1,42,1,0,0,1,1,1,0,0,337
305934,1,18,0,0,1,0,1,1,1,1,147
305935,1,16,0,0,0,0,1,1,1,1,223
305938,0,19,1,0,0,0,1,1,1,0,960
305939,1,52,0,0,0,1,1,1,0,1,395
305941,1,21,0,1257,0,0,0,0,1,0,297
305943,1,19,0,3000,0,1,1,1,1,0,83
305945,1,39,1,1200,0,0,1,0,1,1,750
305949,1,30,1,3000,1,0,0,1,0,1,105
305951,1,19,1,6000,0,0,0,0,1,0,432
305952,0,47,1,0,1,1,1,1,0,0,538
305953,0,31,1,1277,1,0,1,1,1,1,532
305954,1,47,1,0,0,0,0,0,0,1,495
305959,1,26,1,0,0,1,0,0,1,0,358
305960,1,20,0,110,0,1,1,1,1,0,303
305961,1,24,0,400,1,0,0,0,1,1,85
305967,0,39,1,2000,1,0,0,0,1,1,780
305969,1,18,1,998,1,0,0,0,1,1,12
305973,0,17,1,1729,0,1,0,0,1,0,450
305975,1,19,1,2000,1,0,1,1,1,1,291
305977,1,49,1,8137,1,0,1,1,0,0,175
305980,0,38,1,0,1,1,0,0,1,0,921
305982,1,19,0,0,0,1,1,1,1,0,21
305985,1,34,0,850,0,1,1,1,0,0,147
305986,1,18,1,1200,1,0,0,0,1,0,530
305987,0,39,1,0,1,1,0,0,0,0,587
305988,1,16,0,400,1,0,0,0,1,0,125
305995,1,20,1,82,1,1,0,0,0,0,23
305996,1,16,0,865,0,0,1,1,1,1,20
305998,0,35,1,0,1,1,0,0,0,0,780
306000,1,20,1,2500,1,0,0,1,1,0,48
306002,0,20,1,1800,1,1,1,1,1,0,634
306003,0,41,0,130,0,0,1,1,1,1,576
306004,1,25,0,400,1,1,1,1,0,0,263
306007,1,26,1,3000,1,1,1,1,0,0,284
306008,0,19,0,0,1,0,1,1,0,0,1330
306009,1,22,0,700,0,0,1,1,1,1,55
306014,1,23,1,1200,1,0,0,0,1,1,237
306016,1,20,0,3000,0,0,1,1,1,1,4
306017,0,41,0,0,1,1,1,1,0,1,615
306018,1,24,0,0,0,1,1,1,1,0,87
306020,0,33,1,300,0,1,0,0,0,1,486
306022,0,33,0,0,1,0,1,1,0,0,669
306023,1,23,1,6430,1,1,1,1,0,0,163
306026,1,20,1,3430,0,1,0,0,1,0,205
306027,1,22,0,4000,1,0,0,1,1,1,295
306028,1,18,0,55,1,0,1,1,1,0,705
306030,1,20,0,350,0,0,0,1,1,1,366
306034,0,38,0,0,1,0,0,1,1,0,938
306036,1,32,1,0,0,1,1,1,1,0,55
306040,1,19,1,4600,1,0,1,1,1,1,17
306042,1,28,1,0,1,1,1,1,1,0,563
306043,1,17,0,0,0,1,0,1,1,0,855
306046,1,29,1,0,0,0,1,1,1,1,45
306055,1,34,0,5400,1,0,1,1,0,1,734
306057,1,30,1,5500,1,0,0,1,1,1,38
306060,1,20,1,4946,0,0,0,0,1,1,130
306061,0,18,0,0,1,0,0,1,1,1,612
306062,1,18,1,495,0,0,1,1,1,0,239
306065,1,22,1,0,0,1,0,0,1,0,94
306071,1,43,1,0,1,1,1,1,0,0,932
306075,0,22,0,0,0,1,1,1,1,0,750
306076,0,27,1,300,0,0,0,0,0,0,844
306077,1,20,0,2700,0,0,0,1,1,0,83
306081,0,26,1,500,1,0,0,0,0,1,1074
306082,1,20,1,5014,1,0,1,0,1,1,49
306084,1,23,1,1000,1,0,1,1,1,1,104
306086,1,27,0,0,1,0,0,0,0,1,73
306091,1,20,1,900,0,0,1,1,1,0,275
306092,1,39,1,900,1,1,1,1,0,1,150
306093,1,24,1,2600,1,1,0,1,1,0,522
306096,1,28,0,750,1,0,0,1,0,1,9
306097,1,23,1,0,1,1,1,1,0,0,130
306098,1,16,0,50,1,1,1,1,0,0,277
306102,1,17,0,124,1,1,1,1,1,0,455
306104,0,22,0,0,0,1,0,0,1,0,763
306111,1,42,1,125,0,0,0,0,0,1,248
306114,1,33,1,4595,0,1,0,0,1,0,185
306120,1,17,0,430,0,0,0,1,1,0,160
306121,1,27,0,600,0,0,0,1,1,1,67
306123,1,26,0,0,1,0,0,1,1,1,281
306126,1,20,0,280,0,1,0,1,1,0,597
306127,1,18,1,2000,1,0,0,1,1,1,933
306130,0,27,1,1400,1,1,1,1,0,0,581
306134,0,25,0,4500,1,1,1,1,0,0,455
306135,1,17,1,840,1,0,0,0,1,0,38
306136,1,28,0,6900,1,1,0,0,0,1,394
306140,0,60,1,15000,1,0,0,0,0,1,919
306142,1,35,0,0,1,1,1,1,0,1,31
306146,1,23,1,3986,1,0,1,1,1,0,127
306148,1,60,1,37500,1,1,1,1,0,1,158
306153,1,29,0,25,1,1,0,1,0,0,262
306154,1,26,1,500,1,0,0,1,1,1,301
306156,1,18,1,969,1,1,0,0,1,0,33
306158,0,30,0,0,1,1,1,1,1,0,606
306159,1,25,1,31,0,1,1,1,0,0,308
306160,1,18,0,34,1,1,0,0,0,0,202
306163,1,30,1,5600,1,1,0,0,0,0,6
306169,1,18,1,0,0,0,1,1,1,0,371
306171,0,27,1,60,1,0,1,1,1,0,614
306173,1,40,1,1720,0,1,1,1,0,0,120
306174,0,26,1,0,1,0,1,1,1,1,605
306176,0,37,0,0,1,1,0,1,0,0,625
306177,1,17,0,2200,1,0,1,1,1,1,831
306178,1,43,0,3856,0,1,0,0,0,0,496
306181,1,23,1,421,0,0,1,1,1,0,752
306184,1,33,0,0,1,1,1,1,0,0,57
306187,0,60,0,18000,1,0,0,1,1,0,771
306189,1,24,1,5600,1,0,1,1,0,1,163
306190,0,30,0,0,0,1,0,0,1,0,727
306194,0,25,1,425,0,1,0,0,1,0,579
306196,1,22,0,400,1,0,0,1,1,0,16
306199,1,17,0,5760,0,0,0,1,0,0,141
306206,1,39,1,2000,1,0,0,0,0,1,65
306207,0,33,0,0,1,1,1,0,0,0,563
306208,0,25,1,1200,0,0,0,0,1,1,589
306211,1,22,1,120,0,0,0,1,1,1,619
306213,1,45,1,2988,1,0,0,0,0,0,113
306214,0,29,0,0,0,0,0,1,1,1,414
306215,1,34,0,2200,1,1,1,0,0,1,117
306219,1,19,1,3600,1,0,0,0,1,1,274
306226,1,23,1,7000,1,0,0,0,0,1,16
306228,1,18,1,0,0,0,0,0,1,1,151
306229,1,59,0,3000,1,0,1,0,0,0,93
306230,1,20,1,0,0,1,0,0,1,0,451
306234,1,31,1,4163,0,1,0,1,0,0,242
306236,1,47,0,1117,1,1,1,1,0,0,78
306237,1,29,0,0,0,1,0,1,0,0,170
306250,1,27,1,0,1,1,0,1,1,0,6
306252,1,22,0,800,1,0,1,1,1,0,21
306257,1,21,0,2200,1,0,1,1,0,1,13
306261,1,19,1,0,1,1,1,1,1,0,459
306262,1,51,0,8903,1,0,0,0,0,1,88
306263,1,25,0,0,0,1,0,0,0,0,659
306264,1,22,0,0,0,1,0,0,1,0,172
306270,1,24,0,0,0,0,0,0,1,1,419
306274,1,19,0,1432,1,0,0,0,1,0,368
306276,1,30,1,13440,0,0,0,0,0,0,51
306277,0,46,1,0,1,0,0,1,0,0,418
306279,0,32,0,2250,1,1,0,1,0,0,545
306280,1,18,1,0,1,0,0,1,1,1,44
306289,1,21,0,1200,0,0,0,0,1,1,177
306291,1,23,0,1500,1,0,0,0,1,1,218
306294,1,32,1,7000,0,1,0,0,0,1,390
306295,1,34,0,0,0,1,0,0,0,1,151
306299,1,20,0,3300,1,0,1,1,1,1,8
306301,1,32,1,2000,0,0,0,0,1,1,153
306303,1,20,0,4452,0,0,0,0,1,1,586
306304,1,18,0,47,0,1,0,0,1,0,616
306306,1,22,1,186,0,1,0,0,1,0,69
306308,1,22,1,5300,1,0,0,0,0,1,49
306311,1,43,1,10500,1,0,0,0,1,1,108
306313,1,34,0,5000,0,1,1,1,0,1,460
306314,1,29,0,0,0,1,0,1,0,0,18
306315,1,26,1,2000,1,1,1,1,0,1,207
306316,0,31,1,0,1,0,0,1,0,1,699
306319,0,54,1,0,1,0,1,1,1,0,620
306321,1,26,0,850,1,0,1,1,0,1,337
306325,1,17,0,1600,0,0,1,1,1,1,470
306331,0,27,0,0,0,1,0,0,1,0,558
306336,1,36,0,98,1,1,1,1,0,0,17
306339,1,38,0,133,1,0,0,1,1,1,216
306343,0,33,1,0,1,1,1,1,0,1,563
306345,1,18,0,0,0,1,1,1,0,0,181
306352,1,22,1,0,0,0,0,0,1,1,3
306353,1,16,0,100,1,0,1,1,1,0,343
306355,1,17,0,0,0,0,1,1,1,0,573
306356,1,25,1,2800,1,0,0,1,1,0,570
306357,1,19,1,858,1,1,0,0,0,0,84
306358,0,30,0,0,0,1,1,1,1,0,398
306359,1,28,0,9000,1,0,0,0,0,1,64
306365,1,19,1,0,0,0,0,0,1,0,306
306366,1,26,1,6000,1,0,0,1,1,0,245
306374,0,35,1,98,1,0,0,0,0,0,548
306375,1,48,0,8000,0,0,1,1,0,1,79
306376,1,28,0,5401,1,0,0,1,0,1,96
306385,0,21,0,0,1,1,1,1,1,0,983
306386,1,17,0,2000,0,0,0,0,1,1,92
306393,1,22,0,6888,1,0,1,1,1,1,16
306396,1,18,0,0,0,1,1,1,1,0,385
306398,1,34,1,4593,1,1,1,1,0,0,174
306400,1,28,1,1186,1,1,1,1,0,0,28
306403,1,22,0,2992,1,1,0,0,0,0,225
306406,1,43,1,500,1,0,0,1,0,1,61
306407,1,29,0,4000,0,1,1,1,0,0,6
306412,1,25,1,0,0,1,1,1,0,0,314
306418,0,31,1,0,0,1,1,1,1,0,740
306419,1,17,0,0,0,1,0,1,1,0,416
306420,0,46,1,3460,1,0,1,0,1,0,678
306422,1,17,0,0,1,0,1,1,1,1,27
306423,1,38,0,0,0,1,0,0,0,1,91
306424,1,24,0,4000,1,1,1,1,1,0,323
306430,1,31,1,200,0,0,1,1,1,1,54
306432,1,42,1,6000,1,0,1,1,0,1,340
306433,1,21,1,1656,1,1,0,1,1,0,185
306434,1,39,0,1608,0,1,1,1,0,0,280
306440,1,21,1,1951,1,1,1,1,0,0,191
306442,1,39,1,200,1,1,0,1,0,0,83
306446,1,20,1,5000,0,0,0,1,1,1,232
306447,1,19,0,0,0,0,0,1,1,1,489
306449,1,44,0,19000,1,1,0,0,0,1,9
306451,1,19,1,2658,0,0,1,1,1,0,8
306458,0,36,1,0,1,1,0,0,0,0,848
306465,0,45,0,0,1,1,0,1,0,1,607
306466,0,30,1,0,1,1,1,0,0,0,746
306471,0,32,0,3629,0,1,1,1,1,1,435
306474,1,17,0,1300,1,1,1,1,0,0,109
306476,1,38,0,3000,1,1,1,1,0,1,6
306481,1,19,1,600,1,1,0,0,0,0,426
306483,1,30,0,0,0,0,1,1,1,0,71
306485,1,38,0,10588,0,1,0,0,0,1,382
306486,1,18,1,92,1,1,0,1,0,0,38
306493,1,31,0,0,0,0,1,1,1,1,345
306496,1,40,1,5720,1,1,1,1,0,0,871
306497,1,36,0,1600,1,0,0,0,0,1,32
306500,1,28,1,1500,1,0,1,0,0,1,121
306502,1,24,0,1000,0,1,1,1,0,1,119
306504,0,19,0,4000,1,0,0,1,1,1,997
306506,1,20,0,3380,0,0,1,1,1,1,45
306510,1,25,1,7900,0,1,1,1,0,1,339
306513,1,24,1,4100,0,0,1,1,1,0,45
306515,1,19,0,3788,1,0,0,0,1,1,115
306516,1,40,1,600,1,0,0,1,0,0,115
306518,1,20,0,150,1,0,0,1,1,0,7
306520,1,22,1,0,0,0,0,1,1,1,111
306522,1,26,0,109,0,1,0,0,1,0,208
306525,1,21,1,0,1,0,0,1,1,1,143
306530,1,25,0,0,1,1,0,1,0,0,54
306531,1,31,0,5800,0,0,0,0,1,1,26
306539,0,19,0,1400,0,0,1,1,1,0,1237
306541,1,24,0,9812,0,1,1,1,0,1,69
306544,1,34,0,6220,1,0,1,1,0,1,38
306545,1,21,0,294,1,1,0,0,0,0,426
306547,1,22,0,1500,0,0,0,1,1,1,6
306549,0,24,0,0,0,1,0,0,0,0,552
306551,1,22,1,10800,0,0,0,1,1,0,19
306553,1,51,0,0,0,1,0,0,0,1,415
306554,0,24,0,5000,0,0,0,0,1,1,698
306555,1,35,1,0,0,1,1,1,0,0,730
306556,1,19,0,0,1,1,1,1,0,0,537
306559,0,23,0,0,0,1,0,1,1,0,745
306563,1,17,0,2347,1,0,1,1,1,1,177
306566,1,25,1,12050,0,0,0,0,1,1,262
306567,1,22,0,4410,1,0,1,1,1,1,10
306569,0,18,0,0,0,0,1,1,1,1,1144
306570,1,19,1,0,1,1,1,1,0,0,904
306571,1,19,0,4000,0,1,1,1,0,1,21
306573,0,37,1,2135,1,0,1,1,0,1,759
306574,1,18,0,0,1,0,0,1,1,0,234
306576,0,37,1,259,0,1,0,1,0,0,585
306580,1,16,0,0,0,0,0,0,1,0,82
306581,0,38,0,0,0,1,0,1,0,0,397
306582,1,20,0,256,1,1,1,1,1,0,220
306583,1,21,0,287,0,0,1,1,1,1,321
306584,1,39,1,0,0,0,1,1,0,0,177
306590,1,24,1,4000,1,1,0,1,0,0,7
306593,1,40,1,0,1,1,0,0,0,0,109
306597,1,43,1,4500,1,1,0,0,0,0,35
306598,1,17,0,0,0,0,0,0,1,0,651
306601,1,20,0,0,0,0,0,1,1,1,503
306602,0,31,0,0,0,1,0,0,0,1,778
306603,0,25,1,1200,1,0,0,0,0,0,609
306606,1,17,0,0,0,0,1,1,1,1,194
306607,0,35,0,1000,0,0,1,1,0,1,624
306608,1,18,1,180,1,1,0,1,0,0,294
306612,1,32,1,17000,0,1,0,1,0,1,36
306614,0,41,1,0,1,0,0,0,0,1,690
306618,1,23,1,0,0,1,1,1,1,0,246
306620,0,30,1,0,0,1,0,1,1,0,452
306622,1,26,1,0,0,0,1,1,1,1,314
306623,0,41,0,0,1,1,0,0,0,0,504
306625,1,34,1,600,1,1,1,1,0,1,407
306626,1,19,1,0,0,1,0,0,0,0,183
306627,0,36,1,3850,1,1,1,0,0,0,594
306628,1,38,1,1020,0,1,0,1,0,0,220
306633,1,34,1,2000,1,1,1,1,0,0,338
306634,0,44,1,0,1,0,0,0,0,0,588
306636,1,19,0,4000,0,0,1,1,1,1,42
306643,1,27,1,0,1,1,1,1,1,0,79
306644,1,27,0,600,1,1,1,1,0,0,23
306645,0,35,0,800,1,1,1,1,0,1,1087
306648,0,21,0,2000,0,1,1,1,1,0,589
306650,1,49,0,0,1,1,0,0,0,0,80
306652,1,32,1,300,1,1,1,1,0,0,66
306655,1,19,0,1835,1,0,0,1,0,0,201
306659,1,23,0,10000,1,1,1,1,1,1,326
306660,1,18,1,0,0,0,0,1,1,0,115
306663,1,33,1,0,1,1,1,1,0,0,20
306667,0,47,0,0,0,1,0,0,0,0,1154
306668,0,24,1,170,0,1,1,1,1,0,707
306669,1,22,0,0,1,0,1,1,0,1,18
306672,1,28,0,3500,0,1,0,1,1,1,20
306675,1,33,1,0,0,1,1,1,0,0,513
306678,1,35,1,0,0,1,0,0,0,1,492
306679,1,19,1,98,0,1,1,0,1,0,85
306683,0,48,1,0,0,1,1,1,0,0,585
306685,1,19,0,0,0,0,1,1,1,0,305
306686,1,19,0,0,0,1,1,1,0,0,232
306687,1,53,0,452,1,1,0,1,0,0,317
306690,1,38,0,1200,1,0,0,0,0,1,12
306693,0,49,1,5200,1,0,0,0,1,1,745
306694,1,44,0,1400,0,0,0,0,0,1,265
306695,1,30,0,6000,1,0,0,0,0,1,47
306696,1,21,1,40,1,1,1,1,1,0,286
306699,0,33,1,600,1,0,0,0,1,1,602
306705,1,23,0,5500,1,0,0,0,1,0,355
306708,1,31,0,4000,0,1,1,1,0,1,21
306713,1,34,0,0,1,0,0,0,1,1,22
306716,0,21,0,0,0,1,0,1,1,0,1093
306717,0,43,0,7850,0,0,1,1,0,0,554
306718,1,18,0,2027,0,0,0,1,1,1,29
306719,1,25,0,4320,0,0,1,0,1,0,496
306722,1,22,1,2505,1,1,0,0,1,0,498
306723,1,32,0,340,1,0,1,1,1,0,67
306725,1,26,1,112,0,1,0,0,1,0,180
306727,1,33,1,4963,1,1,1,1,0,0,45
306737,1,18,0,1135,0,0,1,1,1,1,666
306738,1,20,0,940,1,0,0,0,1,1,183
306740,1,29,0,2262,1,1,0,0,1,0,58
306742,1,46,1,655,1,1,0,0,0,0,104
306743,1,55,1,0,1,0,1,1,0,0,518
306744,1,43,0,4800,0,1,1,1,0,1,121
306745,1,24,0,0,0,1,0,1,1,0,189
306752,0,26,0,800,0,0,0,0,1,1,668
306754,0,35,0,490,1,0,0,1,1,1,454
306757,1,41,0,5440,1,1,0,0,0,0,217
306761,0,29,0,0,0,0,1,1,1,1,582
306765,0,28,1,368,1,1,1,1,0,0,522
306768,1,18,0,0,0,1,0,0,1,0,45
306774,1,23,1,0,1,0,0,0,1,1,216
306776,0,40,0,268,1,1,1,1,0,1,693
306782,0,16,0,0,0,0,0,1,1,0,1339
306785,1,25,0,4000,1,0,1,0,1,1,46
306810,0,35,0,0,0,1,0,0,1,0,843
306811,1,19,0,0,0,0,1,0,1,0,398
306813,0,19,1,0,0,0,0,1,1,1,533
306814,1,22,1,0,0,1,0,1,0,0,24
306820,1,35,1,0,0,1,1,1,1,0,39
306822,1,26,1,5600,0,0,1,0,1,1,416
306824,1,30,0,4000,0,0,1,1,1,1,467
306826,1,46,0,1600,1,0,0,0,1,1,287
306827,1,35,0,0,1,0,1,1,0,1,423
306832,0,50,0,0,1,0,0,1,0,0,440
306833,1,29,0,3600,1,0,0,1,0,0,33
306837,1,41,0,2000,1,0,1,1,0,0,423
306838,1,19,0,2000,0,0,1,1,1,1,20
306839,1,41,1,10636,1,0,1,1,0,0,95
306840,1,20,1,0,0,0,0,1,1,0,513
306841,1,51,1,6000,1,1,0,0,0,0,154
306842,0,25,0,0,0,1,0,1,1,0,688
306845,1,24,0,102,1,1,0,0,0,0,404
306847,1,40,1,14000,1,1,0,0,0,0,102
