"crq_bias_beta0","crq_bias_beta1","crq_bias_beta2","Cdensity","n","u","rmse","CP95_beta0","CP95_beta1","CP95_beta2","Wdensity","X1density","X2density","censor"
"-0.0735455995124546","0.171377334360117","-0.0345266612175148","rexp(n, 0.176)","1000","0.7","0.241785373738226","0.784","0.378","0.96","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.0639617529501253","0.183011435300085","-0.0425235370781529","rexp(n, 0.069)","500","0.7","0.266614783048752","0.914","0.482","0.984","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"-0.0667614256006615","0.180458644170174","-0.0347098895978362","rexp(n, 0.069)","1000","0.7","0.233209751838798","0.824","0.16","0.974","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"0.00420071499311856","-0.0272147871759048","-0.0360992464174529","rexp(n, 0.175)","500","0.7","0.211662532801328","0.97","0.968","0.948","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.003383090378736","-0.0242368409586341","-0.0303860549030698","rexp(n, 0.175)","1000","0.7","0.158212048800241","0.962","0.954","0.95","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
"0.00944369274786514","-0.0170273974289914","-0.0348159929999643","rexp(n, 0.07)","500","0.7","0.184582286416246","0.958","0.972","0.956","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",20
"0.00391511275604012","-0.0157023610765767","-0.0272838918427438","rexp(n, 0.07)","1000","0.7","0.138511040907912","0.95","0.94","0.934","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",20
"0.152228040004563","-0.152953416541677","-0.182889693251207","rexp(n, 0.065)","500","0.7","0.389647884777297","0.906","0.89","0.808","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",40
"0.0913236587151393","-0.0906749030685388","-0.192614856915225","rexp(n, 0.065)","1000","0.7","0.304649920553657","0.95","0.946","0.472","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",40
"0.101164477317579","-0.0667530983551043","-0.147797929452718","rexp(n, 0.0173)","500","0.7","0.281707795398246","0.934","0.96","0.72","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",20
"0.0748986849697732","-0.034988758055554","-0.157472193450298","rexp(n, 0.0173)","1000","0.7","0.228018541574343","0.96","0.978","0.392","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",20
