"table2$Wdensity","u","n","censor","bias_truebeta0","bias_truebeta1","bias_truebeta2","RMSE","CP95_truebeta0","CP95_truebeta1","CP95_truebeta2"
"rexp(n)",0.3,500,0.203984,0.00622974828109491,0.00893434843948714,-0.010325220227902,0.197311941076622,0.902,0.9,0.858
"rexp(n)",0.3,500,0.408556,0.00638368471263995,0.00664474645308797,-0.00859515073313003,0.214749390283834,0.874,0.854,0.808
"rexp(n)",0.3,1000,0.203888,-0.00134353856761473,0.0109749600404636,0.00699292561653498,0.144986924395669,0.964,0.93,0.95
"rexp(n)",0.3,1000,0.409314,-0.00108030550884486,0.00801729597256926,0.00948564329020351,0.158379769655257,0.954,0.946,0.912
"rexp(n)",0.5,500,0.203984,0.00529001693772001,0.00879630900261488,-0.0113163294769307,0.223446898155798,0.95,0.964,0.904
"rexp(n)",0.5,500,0.408556,0.00845324587248473,0.00630339538585921,-0.0174225065864943,0.258902265014527,0.908,0.93,0.826
"rexp(n)",0.5,1000,0.203888,-0.0002779539014476,0.00834275754123557,0.00156564382846044,0.164996006487872,0.946,0.928,0.94
"rexp(n)",0.5,1000,0.409314,0.000796735910057603,0.00310962645375267,0.00409092590387139,0.186592140425645,0.948,0.932,0.96
"rexp(n)",0.7,500,0.203984,0.00409340159660982,0.00435481659203114,-0.0107038223932163,0.220975839627451,0.942,0.954,0.91
"rexp(n)",0.7,500,0.408556,0.0109136547508944,-0.0128310037291252,-0.0156037124453479,0.271008071638966,0.884,0.93,0.792
"rexp(n)",0.7,1000,0.203888,0.000422170745687225,0.00126137737635829,-0.000993393282281705,0.164054081920492,0.968,0.958,0.93
"rexp(n)",0.7,1000,0.409314,-0.000127063312631231,-0.00172759558750432,0.00302398638370693,0.203257967222025,0.938,0.946,0.884
"exp(rnorm(n))",0.3,500,0.206796,0.0180751883300583,-0.00513274441709327,-0.00963989326785791,0.20451060274421,0.924,0.922,0.924
"exp(rnorm(n))",0.3,500,0.406276,0.0206641429172639,-0.0071558043358811,-0.01116912759481,0.215441046262917,0.876,0.89,0.902
"exp(rnorm(n))",0.3,1000,0.206978,0.010002120502432,-0.00483321492535555,0.00236473212122849,0.144305327799729,0.932,0.952,0.95
"exp(rnorm(n))",0.3,1000,0.406446,0.0104707520700104,-0.00558384767834619,0.00266500364474587,0.154745349024549,0.942,0.94,0.928
"exp(rnorm(n))",0.5,500,0.206796,0.0210274098800539,-0.00733393318984063,-0.0133805251673145,0.244810778021225,0.918,0.95,0.942
"exp(rnorm(n))",0.5,500,0.406276,0.0166320531928527,-0.00468411903050147,-0.0067733510079713,0.270258531293392,0.872,0.924,0.936
"exp(rnorm(n))",0.5,1000,0.206978,0.00462423788412998,-0.000138056207626482,0.0017542683046771,0.165624880255431,0.938,0.968,0.946
"exp(rnorm(n))",0.5,1000,0.406446,0.00627629377681125,-0.00102282192996308,0.00221635637235666,0.18769737432523,0.928,0.966,0.946
"exp(rnorm(n))",0.7,500,0.206805611222445,-0.0045868884371834,0.00540596525965487,-0.00189361191784527,0.241294202312385,0.88376753507014,0.909819639278557,0.925851703406814
"exp(rnorm(n))",0.7,500,0.406276,-0.000539560843951082,0.00697944252369379,0.00254776289532567,0.290686606157157,0.876,0.866,0.876
"exp(rnorm(n))",0.7,1000,0.206978,0.00104017723347622,0.000665250604344769,0.00181446212190634,0.176273881244114,0.932,0.958,0.952
"exp(rnorm(n))",0.7,1000,0.406446,0.00868173514676857,-0.00188325888629641,0.00448075495474917,0.240514562502456,0.876,0.928,0.91
"as.numeric(runif(n))>0.5",0.3,500,0.201752,0.00724246432587003,-0.00130130221986949,-0.00476630874646837,0.180112347864897,0.914,0.928,0.872
"as.numeric(runif(n))>0.5",0.3,500,0.40508,0.00628113457555832,-0.000180547713482507,0.00204121434218222,0.197014800870713,0.916,0.914,0.8
"as.numeric(runif(n))>0.5",0.3,1000,0.20275,0.00493428529989118,-0.00188880149967179,-0.00487445247896483,0.136020478259031,0.952,0.952,0.926
"as.numeric(runif(n))>0.5",0.3,1000,0.404674,0.0059425143164165,0.000898915187873238,-0.00616336738585154,0.149375068093608,0.93,0.94,0.884
"as.numeric(runif(n))>0.5",0.5,500,0.201752,0.00373118926874691,0.00205337569559935,-0.00446038801683708,0.204687430521466,0.922,0.948,0.918
"as.numeric(runif(n))>0.5",0.5,500,0.40508,0.00510048749400205,0.00250546188339901,-0.0034727964765156,0.238627231380714,0.908,0.924,0.88
"as.numeric(runif(n))>0.5",0.5,1000,0.20275,0.00182341117868844,-0.00323739818541582,0.00142644966071144,0.159070500085724,0.95,0.938,0.964
"as.numeric(runif(n))>0.5",0.5,1000,0.404674,0.0029481412023339,-0.00153691079119455,0.00203097128250822,0.178706281643808,0.958,0.926,0.93
"as.numeric(runif(n))>0.5",0.7,500,0.201752,0.00383338059572913,-0.00467531559945893,-0.0047915922281191,0.207734877058363,0.952,0.966,0.938
"as.numeric(runif(n))>0.5",0.7,500,0.40508,0.0102646932727124,-0.00206688099172632,-0.0139802372716166,0.255284557703268,0.922,0.9,0.904
"as.numeric(runif(n))>0.5",0.7,1000,0.20275,0.00155121978620642,-0.00374363726744427,-0.00319764368421193,0.160669783492042,0.932,0.936,0.934
"as.numeric(runif(n))>0.5",0.7,1000,0.404674,0.00357635410303203,-0.00325186287123931,-0.00721217888126004,0.199214712067245,0.946,0.942,0.924
